Year,CO2 molfrac
1976.4686,334.02
1976.4877,334.02
1976.5068,333.59
1976.526,333.48
1976.5451,332.41
1976.5642,332.24
1976.5833,331.69
1976.6025,330.7
1976.6216,330.44
1976.6407,330.23
1976.6598,330.43
1976.679,329.54
1976.6981,329.54
1976.7172,328.58
1976.7363,328.03
1976.7555,328.55
1976.7746,328.54
1976.7937,329.27
1976.8128,328.77
1976.832,329.32
1976.8511,330.46
1976.8702,330.17
1976.8893,330.55
1976.9085,330.68
1976.9276,331.19
1976.9467,332.39
1976.9658,331.7
1976.985,332.39
1977.0041,332.29
1977.0233,332.49
1977.0425,332.88
1977.0616,332.98
1977.0808,332.93
1977.1,333.21
1977.1192,333.15
1977.1384,333.09
1977.1575,334.34
1977.1767,334.27
1977.1959,335.18
1977.2151,335.32
1977.2342,335.16
1977.2534,335.96
1977.2726,335.85
1977.2918,336.3
1977.311,336.58
1977.3301,337
1977.3493,336.58
1977.3685,337.14
1977.3877,336.97
1977.4068,336.63
1977.426,336.12
1977.4452,336.01
1977.4644,336.34
1977.4836,335.74
1977.5027,335.46
1977.5219,335.23
1977.5411,334.59
1977.5603,334.09
1977.5795,333.42
1977.5986,332.54
1977.6178,332.84
1977.637,331.82
1977.6562,332.25
1977.6753,331.18
1977.6945,331.49
1977.7137,330.94
1977.7329,330.92
1977.7521,330.93
1977.7712,331.54
1977.7904,331.27
1977.8096,331.36
1977.8288,331.87
1977.8479,332.08
1977.8671,332.53
1977.8863,332.92
1977.9055,332.65
1977.9247,333.34
1977.9438,333.4
1977.963,334.03
1977.9822,333.99
1978.0014,334.66
1978.0205,334.56
1978.0397,334.94
1978.0589,335.68
1978.0781,335.23
1978.0973,334.74
1978.1164,335.27
1978.1356,335.5
1978.1548,335.95
1978.174,336.06
1978.1932,336.73
1978.2123,336.91
1978.2315,337.29
1978.2507,337.33
1978.2699,338
1978.289,337.62
1978.3082,337.87
1978.3274,338.27
1978.3466,338.04
1978.3658,337.89
1978.3849,337.79
1978.4041,338.44
1978.4233,338.46
1978.4425,338.12
1978.4616,337.62
1978.4808,337.47
1978.5,336.55
1978.5192,336.79
1978.5384,336.34
1978.5575,335.74
1978.5767,335.43
1978.5959,334.64
1978.6151,334.69
1978.6342,334.21
1978.6534,333.78
1978.6726,332.81
1978.6918,331.86
1978.711,331.75
1978.7301,332.81
1978.7493,332.21
1978.7685,331.85
1978.7877,332.66
1978.8068,332.77
1978.826,333.22
1978.8452,333.57
1978.8644,333.6
1978.8836,334.12
1978.9027,334.1
1978.9219,334.46
1978.9411,334.96
1978.9603,335.2
1978.9795,335.07
1978.9986,335.2
1979.0178,335.48
1979.037,336.64
1979.0562,336.93
1979.0753,337.02
1979.0945,336.61
1979.1137,336.52
1979.1329,336.76
1979.1521,336.97
1979.1712,337.93
1979.1904,338.1
1979.2096,338.65
1979.2288,338.97
1979.2479,338.87
1979.2671,338.78
1979.2863,338.77
1979.3055,339.38
1979.3247,339.56
1979.3438,338.6
1979.363,339.19
1979.3822,339.19
1979.4014,339.8
1979.4205,339.74
1979.4397,339.03
1979.4589,339.13
1979.4781,338.92
1979.4973,338.14
1979.5164,337.7
1979.5356,337.91
1979.5548,336.67
1979.574,336.84
1979.5932,336.35
1979.6123,336.18
1979.6315,334.81
1979.6507,335.25
1979.6699,333.74
1979.689,334.4
1979.7082,333.61
1979.7274,333.61
1979.7466,334.1
1979.7658,334.53
1979.7849,334.09
1979.8041,334.12
1979.8233,334.54
1979.8425,334.8
1979.8616,335.34
1979.8808,335.63
1979.9,335.88
1979.9192,336.39
1979.9384,336.72
1979.9575,337.01
1979.9767,337.18
1979.9959,337.53
1980.015,337.4
1980.0342,337.71
1980.0533,338.65
1980.0724,337.89
1980.0915,338.47
1980.1107,338.19
1980.1298,338.35
1980.1489,338.91
1980.168,339.51
1980.1872,339.83
1980.2063,339.51
1980.2254,340.84
1980.2445,340.64
1980.2637,340.76
1980.2828,340.98
1980.3019,341.15
1980.321,341.35
1980.3402,341.39
1980.3593,341.71
1980.3784,341.45
1980.3975,341.32
1980.4167,341.64
1980.4358,341.61
1980.4549,341.5
1980.474,340.76
1980.4932,340.4
1980.5123,339.42
1980.5314,339.31
1980.5505,338.77
1980.5697,338.81
1980.5888,336.78
1980.6079,338.07
1980.627,338.36
1980.6462,337.21
1980.6653,336.9
1980.6844,336.24
1980.7036,336.24
1980.7227,335.36
1980.7418,335.99
1980.7609,335.72
1980.7801,336.11
1980.7992,336.51
1980.8183,336.69
1980.8374,336.97
1980.8566,337.49
1980.8757,337.2
1980.8948,337.64
1980.9139,337.88
1980.9331,338.11
1980.9522,338.5
1980.9713,338.52
1980.9904,338.6
1981.0096,339.12
1981.0288,339.25
1981.0479,339.55
1981.0671,339.67
1981.0863,339.89
1981.1055,340.7
1981.1247,340.18
1981.1438,341.34
1981.163,341.23
1981.1822,340.97
1981.2014,341.53
1981.2205,342.49
1981.2397,342.23
1981.2589,342.62
1981.2781,342.8
1981.2973,342.54
1981.3164,342.71
1981.3356,343.08
1981.3548,343.04
1981.374,342.95
1981.3932,343
1981.4123,342.87
1981.4315,342.83
1981.4507,342.4
1981.4699,342.19
1981.489,341.71
1981.5082,341.3
1981.5274,340.54
1981.5466,340.72
1981.5658,340.05
1981.5849,339.3
1981.6041,338.98
1981.6233,338.18
1981.6425,337.25
1981.6616,337.6
1981.6808,337.1
1981.7,336.92
1981.7192,336.84
1981.7384,336.24
1981.7575,336.66
1981.7767,337.11
1981.7959,337.22
1981.8151,337.68
1981.8342,338.13
1981.8534,338.29
1981.8726,338.43
1981.8918,339.23
1981.911,339.72
1981.9301,339.7
1981.9493,339.64
1981.9685,340.03
1981.9877,340.51
1982.0068,340.59
1982.026,340.75
1982.0452,340.8
1982.0644,341.64
1982.0836,341.77
1982.1027,341.58
1982.1219,341.34
1982.1411,341.97
1982.1603,342.71
1982.1795,342.47
1982.1986,342.71
1982.2178,342.71
1982.237,342.84
1982.2562,343.37
1982.2753,343.37
1982.3137,344.91
1982.3329,344.24
1982.3521,344.81
1982.3712,344.67
1982.3904,344.81
1982.4096,343.96
1982.4288,344.05
1982.4479,344.07
1982.4671,343.4
1982.4863,343.28
1982.5055,342.91
1982.5247,342.27
1982.5438,342.09
1982.563,341.76
1982.5822,341.06
1982.6014,340.6
1982.6205,340.43
1982.6397,339.15
1982.6589,338.88
1982.6781,338.74
1982.6973,338.96
1982.7164,337.24
1982.7356,337.51
1982.7548,337.81
1982.774,337.96
1982.7932,338.25
1982.8123,339.22
1982.8315,339.02
1982.8507,339.26
1982.8699,339.56
1982.889,340.37
1982.9082,339.82
1982.9274,340.57
1982.9466,340.81
1982.9658,341.35
1982.9849,341.42
1983.0041,341.69
1983.0233,342.18
1983.0425,341.44
1983.0616,341.72
1983.0808,342.08
1983.1,342.78
1983.1192,343.05
1983.1384,343.03
1983.1575,342.71
1983.1767,342.63
1983.1959,343.74
1983.2151,344.93
1983.2342,343.74
1983.2534,344.74
1983.2726,345.03
1983.2918,345.6
1983.311,345.82
1983.3301,345.64
1983.3493,345.94
1983.3685,346.36
1983.3877,346.07
1983.4068,345.95
1983.426,346.09
1983.4452,345.73
1983.4644,345.39
1983.4836,344.96
1983.5027,345.02
1983.5219,344.31
1983.5411,344.1
1983.5603,343.39
1983.5795,342.75
1983.5986,342.75
1983.6178,342.06
1983.637,341.89
1983.6562,340.95
1983.6753,340.34
1983.6945,340.23
1983.7137,340.29
1983.7329,340.39
1983.7521,339.98
1983.7712,340.2
1983.7904,340.82
1983.8096,340.67
1983.8288,341.07
1983.8479,341.37
1983.8671,341.66
1983.8863,341.71
1983.9055,342.24
1983.9247,342.48
1983.9438,342.74
1983.963,343.43
1983.9822,343.63
1984.0014,344.09
1984.0205,343.78
1984.0396,343.98
1984.0587,344.39
1984.0779,344.59
1984.097,344.86
1984.1161,344.67
1984.1352,344.98
1984.1544,344.91
1984.1735,345.23
1984.1926,345.52
1984.2117,345.66
1984.2309,345.76
1984.25,345.76
1984.3265,347.6
1984.3456,347.36
1984.3648,347.86
1984.3839,347.53
1984.403,347.51
1984.4221,347.07
1984.4413,347.36
1984.4604,346.97
1984.4795,346.5
1984.4986,346.21
1984.5178,346.07
1984.5369,345.35
1984.556,344.89
1984.5751,344.74
1984.5943,344.35
1984.6134,344.12
1984.6325,343.05
1984.6516,342.12
1984.6708,340.88
1984.6899,341.1
1984.709,341.87
1984.7281,341.24
1984.7473,341.9
1984.7664,341.16
1984.7855,341.99
1984.8046,341.91
1984.8238,342.06
1984.8429,342.6
1984.862,343.08
1984.8811,343.53
1984.9003,343.48
1984.9194,343.48
1984.9385,344.64
1984.9577,344.93
1984.9768,344.7
1984.9959,345.24
1985.0151,345.3
1985.0342,345.18
1985.0534,345.18
1985.0726,345.62
1985.0918,346.01
1985.111,345.72
1985.1301,346.49
1985.1493,346.72
1985.1685,347.21
1985.1877,347.57
1985.2068,347.92
1985.226,348.34
1985.2452,348.23
1985.2644,348.24
1985.2836,347.94
1985.3027,348.69
1985.3219,348.96
1985.3411,349.24
1985.3603,349.1
1985.3795,349.07
1985.3986,348.91
1985.4178,348.86
1985.437,348.55
1985.4562,348.37
1985.4753,347.79
1985.4945,347.24
1985.5137,347.1
1985.5329,346.89
1985.5521,346.47
1985.5712,345.86
1985.5904,345.33
1985.6096,344.23
1985.6288,344.61
1985.6479,344.76
1985.6671,344.14
1985.6863,343.61
1985.7055,343.38
1985.7247,342.29
1985.7438,342.34
1985.763,342.92
1985.7822,342.95
1985.8014,343.48
1985.8205,343.75
1985.8397,343.76
1985.8589,344.36
1985.8781,344.81
1985.8973,345.29
1985.9164,345.29
1985.9356,345.9
1985.9548,345.88
1985.974,346.04
1985.9932,346.68
1986.0123,346.55
1986.0315,346.41
1986.0507,346.78
1986.0699,346.5
1986.089,346.93
1986.1082,347.22
1986.1274,347.63
1986.1466,347.44
1986.1658,346.98
1986.1849,347.11
1986.2041,347.88
1986.2233,349.34
1986.2425,349.01
1986.2616,349.6
1986.2808,349.79
1986.3,350.08
1986.3192,350.51
1986.3384,350.17
1986.3575,350.59
1986.3767,350.64
1986.3959,350.1
1986.4151,350.3
1986.4342,350.29
1986.4534,350.04
1986.4726,349.58
1986.4918,349.05
1986.511,348.81
1986.5301,347.61
1986.5493,347.86
1986.5685,347.74
1986.5877,346.7
1986.6068,346.21
1986.626,345.66
1986.6452,345.65
1986.6644,345.22
1986.6836,345.64
1986.7027,345.74
1986.7219,344.44
1986.7411,344.86
1986.7603,344.17
1986.7795,344.37
1986.7986,344.46
1986.8178,345.27
1986.837,345.47
1986.8562,345.98
1986.8753,345.91
1986.8945,346.27
1986.9137,347.12
1986.9329,347.04
1986.9521,347.09
1986.9712,347.23
1986.9904,347.57
1987.0096,348.05
1987.0288,348.79
1987.0479,348.55
1987.0671,348.97
1987.0863,348.41
1987.1055,348.19
1987.1247,348.91
1987.1438,349.55
1987.163,349.08
1987.1822,349.43
1987.2014,350
1987.2205,350.38
1987.2397,351.1
1987.2589,350.74
1987.2781,351.07
1987.2973,351.63
1987.3164,351.73
1987.3356,352.14
1987.3548,352.07
1987.374,352.02
1987.3932,352.32
1987.4123,352.11
1987.4315,351.74
1987.4507,351.35
1987.4699,351.35
1987.489,350.58
1987.5082,350.77
1987.5274,349.69
1987.5466,350.21
1987.5658,349.72
1987.5849,347.29
1987.6041,348.77
1987.6233,348.22
1987.6425,347.77
1987.6616,346.8
1987.6808,346.55
1987.7,346.81
1987.7192,345.76
1987.7384,346.22
1987.7575,346.36
1987.7767,346.56
1987.7959,346.96
1987.8151,346.89
1987.8342,347.38
1987.8534,347.51
1987.8726,348.07
1987.8918,348.71
1987.911,348.75
1987.9301,348.73
1987.9493,349.23
1987.9685,349.37
1987.9877,349.76
1988.0068,350.14
1988.026,350.28
1988.0451,350.54
1988.0642,350.71
1988.0833,351.72
1988.1025,351.26
1988.1216,351.24
1988.1407,352.16
1988.1598,353.04
1988.179,352.4
1988.1981,351.95
1988.2172,351.74
1988.2363,353.05
1988.2555,353.38
1988.2746,353.52
1988.2937,353.61
1988.3128,354.4
1988.332,353.92
1988.3511,354.19
1988.3702,354.19
1988.3893,354.65
1988.4085,353.94
1988.4276,354.28
1988.4467,353.66
1988.4658,353.34
1988.485,353.31
1988.5041,352.84
1988.5232,352.99
1988.5423,352.93
1988.5615,351.99
1988.5806,350.89
1988.5997,350.82
1988.6189,350.14
1988.638,350.18
1988.6571,349.53
1988.6762,348.85
1988.6954,349.13
1988.7145,348.86
1988.7336,348.75
1988.7527,348.95
1988.7719,348.69
1988.791,349.3
1988.8101,349.45
1988.8292,349.77
1988.8484,349.86
1988.8675,350.15
1988.8866,350.56
1988.9057,350.61
1988.9249,350.9
1988.944,351.44
1988.9631,351.57
1988.9822,352.08
1989.0014,352.48
1989.0205,353.15
1989.0397,353
1989.0589,352.67
1989.0781,353.31
1989.0973,352.8
1989.1164,353.29
1989.1356,353.62
1989.1548,353.77
1989.174,353.63
1989.1932,353.58
1989.2123,354.09
1989.2315,354.78
1989.2507,354.75
1989.2699,355.4
1989.289,356.08
1989.3082,356.32
1989.3274,355.76
1989.3466,355.58
1989.3658,356.11
1989.3849,355.96
1989.4041,356.13
1989.4233,355.57
1989.4425,355.46
1989.4616,354.98
1989.4808,355
1989.5,354.76
1989.5192,354.41
1989.5384,353.55
1989.5575,353.26
1989.5767,353.22
1989.5959,352.62
1989.6151,351.95
1989.6342,350.75
1989.6534,350.74
1989.6726,350.96
1989.6918,349.39
1989.711,349.55
1989.7301,349.9
1989.7493,350.41
1989.7685,349.86
1989.7877,350.34
1989.8068,350.7
1989.826,350.44
1989.8452,351.32
1989.8644,351.64
1989.8836,351.84
1989.9027,352.05
1989.9219,352.3
1989.9411,353.07
1989.9603,352.9
1989.9795,352.98
1989.9986,353.67
1990.0178,353.53
1990.037,353.93
1990.0562,353.87
1990.0753,354.34
1990.0945,354.98
1990.1137,355.03
1990.1329,355.37
1990.1521,355.12
1990.1712,355.7
1990.1904,355.73
1990.2096,355.48
1990.2288,356.07
1990.2479,356.21
1990.2671,356.11
1990.2863,356.16
1990.3055,356.81
1990.3247,356.93
1990.3438,357.65
1990.363,357.2
1990.3822,357.28
1990.4014,357.33
1990.4205,356.93
1990.4397,356.2
1990.4589,356.13
1990.4781,355.74
1990.4973,356.17
1990.5164,354.95
1990.5356,354.25
1990.5548,354.33
1990.574,353.95
1990.5932,353.13
1990.6123,353.41
1990.6315,353.01
1990.6507,351.73
1990.6699,351.09
1990.689,350.8
1990.7082,351.69
1990.7274,351.39
1990.7466,351.33
1990.7658,351.48
1990.7849,351.51
1990.8041,351.65
1990.8233,352.33
1990.8425,352.64
1990.8616,353.08
1990.8808,353.38
1990.9,353.62
1990.9192,353.83
1990.9384,354.39
1990.9575,354.26
1990.9767,354.75
1990.9959,354.71
1991.0151,354.5
1991.0342,354.93
1991.0534,354.85
1991.0726,355.52
1991.0918,355.23
1991.111,355.78
1991.1301,356.43
1991.1493,355.73
1991.1685,357.08
1991.1877,357.65
1991.2068,357.17
1991.226,357.39
1991.2452,358.34
1991.2644,357.97
1991.2836,358.65
1991.3027,359.26
1991.3219,359.19
1991.3411,358.86
1991.3603,359.34
1991.3795,359.65
1991.3986,358.74
1991.4178,358.28
1991.437,358.45
1991.4562,358.07
1991.4753,357.8
1991.4945,357.2
1991.5137,356.67
1991.5329,356.13
1991.5521,355.15
1991.5712,355.45
1991.5904,354.5
1991.6096,354.29
1991.6288,353.21
1991.6479,353.01
1991.6671,353.04
1991.6863,352.51
1991.7055,351.86
1991.7247,351.88
1991.7438,351.66
1991.763,352.05
1991.7822,352.52
1991.8014,352.69
1991.8205,352.94
1991.8397,353.75
1991.8589,353.71
1991.8781,353.83
1991.8973,354.1
1991.9164,354.56
1991.9356,354.9
1991.9548,355.14
1991.974,355.5
1991.9932,356.46
1992.0123,356.11
1992.0314,356.25
1992.0505,356.29
1992.0697,356.09
1992.0888,356.89
1992.1079,357.12
1992.127,357.29
1992.1462,357.26
1992.1653,356.62
1992.1844,357.87
1992.2036,358.3
1992.2227,358.77
1992.2418,357.96
1992.2609,359.13
1992.2801,359.16
1992.2992,359.65
1992.3183,359.26
1992.3374,359.69
1992.3566,358.94
1992.3757,359.13
1992.3948,360.4
1992.4139,360.47
1992.4331,359.77
1992.4522,358.88
1992.4713,358.64
1992.4904,358.77
1992.5096,357.68
1992.5287,356.93
1992.5478,356.36
1992.5669,355.61
1992.5861,355.27
1992.6052,355.62
1992.6243,355.33
1992.6434,354.34
1992.6626,352.89
1992.6817,354.07
1992.7008,352.87
1992.7199,352.6
1992.7391,352.86
1992.7582,353.24
1992.7773,353.58
1992.7964,353.2
1992.8156,353.17
1992.8347,354.26
1992.8538,353.94
1992.873,354.16
1992.8921,354.72
1992.9112,354.84
1992.9303,355.28
1992.9495,355.44
1992.9686,355.99
1992.9877,356.28
1993.0068,356.93
1993.026,357.22
1993.0452,356.85
1993.0644,357.05
1993.0836,357.28
1993.1027,356.99
1993.1219,357.16
1993.1411,357.79
1993.1603,358.57
1993.1795,358.32
1993.1986,358.67
1993.2178,357.84
1993.237,359.19
1993.2562,358.83
1993.2753,359.1
1993.2945,359.63
1993.3137,359.75
1993.3329,359.47
1993.3521,360.12
1993.3712,360.55
1993.3904,360.75
1993.4096,359.99
1993.4288,359.77
1993.4479,359.65
1993.4671,359.18
1993.4863,358.69
1993.5055,357.72
1993.5247,357.72
1993.5438,357.1
1993.563,356.53
1993.5822,356.43
1993.6014,355.77
1993.6205,355.41
1993.6397,354.83
1993.6589,354.8
1993.6781,354.18
1993.6973,353.84
1993.7164,353.99
1993.7356,354.16
1993.7548,354.06
1993.774,353.88
1993.7932,354.36
1993.8123,354.34
1993.8315,354.63
1993.8507,355.01
1993.8699,355.61
1993.889,355.99
1993.9082,356.14
1993.9274,356.52
1993.9466,356.64
1993.9658,357.53
1993.9849,357.48
1994.0041,358.11
1994.0233,358.12
1994.0425,358.4
1994.0616,358.24
1994.0808,358.28
1994.1,358.92
1994.1192,358.64
1994.1384,359.39
1994.1575,358.88
1994.1767,359.35
1994.1959,360.46
1994.2151,360.6
1994.2342,360.81
1994.2534,361.09
1994.2726,361.01
1994.2918,361.3
1994.311,361.81
1994.3301,361.98
1994.3493,361.38
1994.3685,361.7
1994.3877,361.51
1994.4068,361.41
1994.426,360.89
1994.4452,360.89
1994.4644,360.82
1994.4836,360.02
1994.5027,359.95
1994.5219,359.64
1994.5411,359.21
1994.5603,358.83
1994.5795,358.45
1994.5986,357.88
1994.6178,357.7
1994.637,356.87
1994.6562,356.19
1994.6753,356.48
1994.6945,355.26
1994.7137,355.67
1994.7329,355.35
1994.7521,355.7
1994.7712,355.85
1994.7904,356.14
1994.8096,356.56
1994.8288,356.68
1994.8479,356.97
1994.8671,358.15
1994.8863,357.65
1994.9055,358.07
1994.9247,358.74
1994.9438,359.38
1994.963,358.82
1994.9822,359.34
1995.0014,359.7
1995.0205,359.54
1995.0397,360.37
1995.0589,360.03
1995.0781,360.14
1995.0973,360.76
1995.1164,361.05
1995.1356,361.01
1995.1548,361.68
1995.174,361.78
1995.1932,361.1
1995.2123,361.76
1995.2315,362.84
1995.2507,363.75
1995.2699,362.81
1995.289,363.01
1995.3082,363.51
1995.3274,362.83
1995.3466,363.85
1995.3658,364.4
1995.3849,363.67
1995.4041,363.67
1995.4233,363.79
1995.4425,363.05
1995.4616,362.91
1995.4808,362.44
1995.5,362.31
1995.5192,362.1
1995.5384,361.42
1995.5575,360.99
1995.5767,360.14
1995.5959,359.76
1995.6151,358.76
1995.6342,358.66
1995.6534,357.84
1995.6726,358.31
1995.6918,358.58
1995.711,358.77
1995.7301,357.59
1995.7493,357.81
1995.7685,357.72
1995.7877,357.99
1995.8068,358.23
1995.826,358.83
1995.8452,359.09
1995.8644,359.49
1995.8836,359.8
1995.9027,359.82
1995.9219,360.21
1995.9411,360.55
1995.9603,360.62
1995.9795,361.4
1995.9986,361.84
1996.0178,362.19
1996.0369,361.91
1996.056,362.21
1996.0751,362.34
1996.0943,362.92
1996.1134,363.03
1996.1325,363.57
1996.1516,363.93
1996.1708,364.09
1996.1899,363.69
1996.209,364.45
1996.2281,364.49
1996.2473,364.25
1996.2664,364.61
1996.2855,364.7
1996.3046,364.55
1996.3238,365.02
1996.3429,364.69
1996.362,365.47
1996.3811,365.28
1996.4003,365.04
1996.4194,364.97
1996.4385,365.28
1996.4577,365.07
1996.4768,364.5
1996.4959,364.42
1996.515,363.82
1996.5342,363.5
1996.5533,363.12
1996.5724,362.04
1996.5915,362.03
1996.6107,361.79
1996.6298,361.01
1996.6489,360.86
1996.668,360.08
1996.6872,359.94
1996.7063,359.01
1996.7254,359.22
1996.7445,359.29
1996.7637,359.44
1996.7828,359.76
1996.8019,359.52
1996.821,359.98
1996.8402,360.27
1996.8593,360.85
1996.8784,361.37
1996.8975,361.25
1996.9167,361.63
1996.9358,362.23
1996.9549,362.48
1996.974,362.32
1996.9932,362.76
1997.0123,362.96
1997.0315,362.97
1997.0507,363.5
1997.0699,363.2
1997.089,363.56
1997.1082,364.29
1997.1274,363.64
1997.1466,364.74
1997.1658,363.87
1997.1849,364.16
1997.2041,364.63
1997.2233,365.19
1997.2425,365.74
1997.2616,365.96
1997.2808,366.5
1997.3,366.7
1997.3192,366.61
1997.3384,366.48
1997.3575,366.82
1997.3767,367.01
1997.3959,366.24
1997.4151,366.07
1997.4342,365.76
1997.4534,365.35
1997.4726,365.22
1997.4918,365.1
1997.511,364.78
1997.5301,364.47
1997.5493,363.6
1997.5685,363.58
1997.5877,363.19
1997.6068,362.63
1997.626,361.19
1997.6452,361.54
1997.6644,361.44
1997.6836,360.08
1997.7027,360.33
1997.7219,359.88
1997.7411,359.99
1997.7603,360.53
1997.7795,360.72
1997.7986,361.02
1997.8178,361.3
1997.837,362.05
1997.8562,362.14
1997.8753,362.52
1997.8945,363.27
1997.9137,363.95
1997.9329,364.04
1997.9521,364.33
1997.9712,364.75
1997.9904,365.03
1998.0096,365.31
1998.0288,365.31
1998.0479,365.1
1998.0671,365.38
1998.0863,365.97
1998.1055,365.62
1998.1247,365.67
1998.1438,366.67
1998.163,367.1
1998.1822,366.66
1998.2014,366.83
1998.2205,367.77
1998.2397,368.81
1998.2589,368.34
1998.2781,368.47
1998.2973,368.35
1998.3164,369.55
1998.3356,369.72
1998.3548,368.32
1998.374,369.58
1998.3932,369.94
1998.4123,369.61
1998.4315,369.14
1998.4507,368.8
1998.4699,368.75
1998.489,368.19
1998.5082,368.41
1998.5274,367.73
1998.5466,367.9
1998.5658,367.1
1998.5849,366.9
1998.6041,366.23
1998.6233,365.54
1998.6425,365.34
1998.6616,364.74
1998.6808,364.32
1998.7,363.65
1998.7192,363.51
1998.7384,364.06
1998.7575,364.1
1998.7767,364.3
1998.7959,364.53
1998.8151,364.79
1998.8342,364.94
1998.8534,365.39
1998.8726,365.95
1998.8918,365.82
1998.911,366.59
1998.9301,366.8
1998.9493,367.15
1998.9685,367.28
1998.9877,367.63
1999.0068,367.8
1999.026,368.1
1999.0452,367.82
1999.0644,369.08
1999.0836,369.27
1999.1027,369.11
1999.1219,368.62
1999.1411,369.08
1999.1603,368.03
1999.1795,369.24
1999.1986,370.18
1999.2178,370.56
1999.237,370.66
1999.2562,371.73
1999.2753,371.51
1999.2945,370.29
1999.3137,370.6
1999.3329,371.52
1999.3521,371.07
1999.3712,370.58
1999.3904,370.72
1999.4096,370.71
1999.4288,370.39
1999.4479,370.41
1999.4671,369.89
1999.4863,369.78
1999.5055,370.05
1999.5247,370.13
1999.5438,369.09
1999.563,368.27
1999.5822,367.7
1999.6014,367.35
1999.6205,366.6
1999.6397,366.27
1999.6589,365.18
1999.6781,364.36
1999.6973,365.16
1999.7164,365.05
1999.7356,364.67
1999.7548,365.15
1999.774,365.19
1999.7932,365.6
1999.8123,365.65
1999.8315,365.98
1999.8507,366.65
1999.8699,366.76
1999.889,367.08
1999.9082,367.44
1999.9274,367.87
1999.9466,367.89
1999.9658,368.27
1999.9849,368.73
2000.0041,368.74
2000.0232,368.87
2000.0423,370.03
2000.0615,370.08
2000.0806,369.26
2000.0997,369.61
2000.1189,369.98
2000.138,369.36
2000.1571,370.11
2000.1762,370.07
2000.1954,370.64
2000.2145,370.93
2000.2336,371.13
2000.2527,371.06
2000.2719,372
2000.291,372.33
2000.3101,371.92
2000.3292,370.91
2000.3484,371.88
2000.3675,371.5
2000.3866,372.08
2000.4057,371.87
2000.4249,371.92
2000.444,371.67
2000.4631,371.79
2000.4822,371.25
2000.5014,370.22
2000.5205,370.15
2000.5396,369.94
2000.5587,369.19
2000.5779,368.93
2000.597,368.48
2000.6161,368.25
2000.6352,367.56
2000.6544,367.56
2000.6735,367.18
2000.6926,367.19
2000.7117,366.74
2000.7309,366.72
2000.75,366.65
2000.7691,366.73
2000.7883,366.99
2000.8074,367.47
2000.8265,367.85
2000.8456,368.05
2000.8648,368.59
2000.8839,368.48
2000.903,368.69
2000.9221,369.68
2000.9413,369.66
2000.9604,369.64
2000.9795,369.86
2000.9986,370.17
2001.0178,370.3
2001.037,370.67
2001.0562,370.52
2001.0753,371.36
2001.0945,371.58
2001.1137,371.96
2001.1329,371.48
2001.1521,371.73
2001.1712,372.19
2001.1904,372.53
2001.2096,372.54
2001.2288,372.34
2001.2479,372.45
2001.2671,373.61
2001.2863,373.7
2001.3055,373.6
2001.3247,373.55
2001.3438,373.93
2001.363,373.74
2001.3822,373.9
2001.4014,373.87
2001.4205,373.47
2001.4397,373.05
2001.4589,373.11
2001.4781,373.02
2001.4973,372.48
2001.5164,371.34
2001.5356,371.3
