Year,CO2 molfrac
(decimal),(ppm)
1974.3795,333.34
1974.3986,332.95
1974.4178,332.32
1974.437,332.18
1974.4562,332.37
1974.4753,331.59
1974.4945,331.68
1974.5137,331.44
1974.5329,330.85
1974.5521,330.76
1974.5712,329.8
1974.5904,329.85
1974.6096,329.05
1974.6288,329.06
1974.6479,328.33
1974.6671,328.05
1974.6863,327.57
1974.7055,326.73
1974.7247,326.96
1974.7438,327.31
1974.763,327.07
1974.7822,327.23
1974.8014,327.4
1974.8205,327.64
1974.8397,327.8
1974.8589,328.5
1974.8781,328.56
1974.8973,328.46
1974.9164,328.76
1974.9356,329.39
1974.9548,329.77
1974.974,329.96
1974.9932,330.38
1975.0123,330.43
1975.0315,330.59
1975.0507,330.8
1975.0699,331.22
1975.089,331.64
1975.1082,331.12
1975.1274,331.41
1975.1466,331.96
1975.1658,331.73
1975.1849,331.61
1975.2041,332.11
1975.2233,331.86
1975.2425,333.3
1975.2616,332.79
1975.2808,333.31
1975.3,333.39
1975.3192,333.49
1975.3384,333.94
1975.3575,334.25
1975.3767,333.45
1975.3959,334
1975.4151,333.96
1975.4342,333.32
1975.4534,333.22
1975.4726,333.47
1975.4918,333.01
1975.511,332.32
1975.5301,331.83
1975.5493,331.36
1975.5685,331.21
1975.5877,331.01
1975.6068,330.38
1975.626,329.48
1975.6452,328.73
1975.6644,329.24
1975.6836,329.42
1975.7027,327.95
1975.7219,327.96
1975.7411,327.97
1975.7603,327.97
1975.7795,328.35
1975.7986,328.63
1975.8178,328.8
1975.837,329.03
1975.8562,329.01
1975.8753,329.25
1975.8945,330.18
1975.9137,329.72
1975.9329,329.72
1976.0096,331.33
1976.0287,331.62
1976.0478,331.66
1976.0669,331.87
1976.0861,332.45
1976.1052,332.51
1976.1243,332.64
1976.1434,333.49
1976.1626,332.43
1976.1817,332.99
1976.2008,333.56
1976.2199,334.15
1976.2391,334.67
1976.2582,335.06
1976.2773,333.65
1976.2964,334.5
1976.3156,334.93
1976.3347,334.17
1976.3538,334.33
1976.373,335.29
1976.3921,335.38
1976.4112,334.43
1976.4303,334.25
1976.4495,334.18
