val_acc,epoch,step,train_loss,train_acc,test_acc
0.31578946113586426,0,2,,,
0.6842105388641357,1,5,,,
0.6842105388641357,2,8,,,
0.6842105388641357,3,11,,,
0.6842105388641357,4,14,,,
0.6842105388641357,5,17,,,
0.6842105388641357,6,20,,,
0.7105262875556946,7,23,,,
0.7105262875556946,8,26,,,
0.7105262875556946,9,29,,,
0.6842105388641357,10,32,,,
0.7368420958518982,11,35,,,
0.7368420958518982,12,38,,,
0.7368420958518982,13,41,,,
0.7631579041481018,14,44,,,
0.7631579041481018,15,47,,,
,16,49,0.3944176137447357,0.765625,
0.7105262875556946,16,50,,,
0.7631579041481018,17,53,,,
0.6315789222717285,18,56,,,
0.7894737124443054,19,59,,,
0.7368420958518982,20,62,,,
0.7631579041481018,21,65,,,
0.7894737124443054,22,68,,,
0.7368420958518982,23,71,,,
0.7105262875556946,24,74,,,
0.7368420958518982,25,77,,,
0.7105262875556946,26,80,,,
0.7368420958518982,27,83,,,
0.7894737124443054,28,86,,,
0.7105262875556946,29,89,,,
0.7368420958518982,30,92,,,
0.7894737124443054,31,95,,,
0.7105262875556946,32,98,,,
,33,99,0.36204594373703003,0.8125,
0.7894737124443054,33,101,,,
0.8157894611358643,34,104,,,
0.8421052694320679,35,107,,,
0.7894737124443054,36,110,,,
0.7894737124443054,37,113,,,
0.8421052694320679,38,116,,,
0.8421052694320679,39,119,,,
0.7368420958518982,40,122,,,
0.7368420958518982,41,125,,,
0.8421052694320679,42,128,,,
0.7894737124443054,43,131,,,
0.8421052694320679,44,134,,,
0.8157894611358643,45,137,,,
0.7894737124443054,46,140,,,
0.8157894611358643,47,143,,,
0.8421052694320679,48,146,,,
,49,149,0.3026714622974396,0.8181818127632141,
0.8421052694320679,49,149,,,
0.8157894611358643,50,152,,,
0.8421052694320679,51,155,,,
0.8421052694320679,52,158,,,
0.7368420958518982,53,161,,,
0.8157894611358643,54,164,,,
0.8157894611358643,55,167,,,
0.7894737124443054,56,170,,,
0.8157894611358643,57,173,,,
0.8421052694320679,58,176,,,
0.7894737124443054,59,179,,,
0.8157894611358643,60,182,,,
0.8157894611358643,61,185,,,
0.8421052694320679,62,188,,,
0.8421052694320679,63,191,,,
0.8157894611358643,64,194,,,
0.8157894611358643,65,197,,,
,66,199,0.1857307106256485,0.90625,
0.8684210777282715,66,200,,,
0.8421052694320679,67,203,,,
0.8684210777282715,68,206,,,
0.7894737124443054,69,209,,,
0.8421052694320679,70,212,,,
0.8421052694320679,71,215,,,
0.8421052694320679,72,218,,,
0.8157894611358643,73,221,,,
0.8421052694320679,74,224,,,
0.8421052694320679,75,227,,,
0.8421052694320679,76,230,,,
0.8684210777282715,77,233,,,
0.8421052694320679,78,236,,,
0.8157894611358643,79,239,,,
0.8421052694320679,80,242,,,
0.8421052694320679,81,245,,,
0.8421052694320679,82,248,,,
,83,249,0.15099558234214783,0.921875,
0.8684210777282715,83,251,,,
0.8684210777282715,84,254,,,
0.8157894611358643,85,257,,,
0.8421052694320679,86,260,,,
0.8157894611358643,87,263,,,
0.8157894611358643,88,266,,,
0.8421052694320679,89,269,,,
0.8684210777282715,90,272,,,
0.8684210777282715,91,275,,,
0.8421052694320679,92,278,,,
0.8421052694320679,93,281,,,
0.8157894611358643,94,284,,,
0.8157894611358643,95,287,,,
0.8157894611358643,96,290,,,
0.8421052694320679,97,293,,,
0.8684210777282715,98,296,,,
,99,299,0.27232101559638977,0.8636363744735718,
0.8684210777282715,99,299,,,
0.8421052694320679,100,302,,,
0.8421052694320679,101,305,,,
0.8421052694320679,102,308,,,
0.8421052694320679,103,311,,,
0.8157894611358643,104,314,,,
0.8157894611358643,105,317,,,
0.8421052694320679,106,320,,,
0.8684210777282715,107,323,,,
0.8421052694320679,108,326,,,
0.8421052694320679,109,329,,,
0.8684210777282715,110,332,,,
0.8684210777282715,111,335,,,
0.8157894611358643,112,338,,,
0.8157894611358643,113,341,,,
0.8684210777282715,114,344,,,
0.8421052694320679,115,347,,,
,116,349,0.16364504396915436,0.9375,
0.8421052694320679,116,350,,,
0.8421052694320679,117,353,,,
0.8684210777282715,118,356,,,
0.8421052694320679,119,359,,,
0.8421052694320679,120,362,,,
0.8421052694320679,121,365,,,
0.8421052694320679,122,368,,,
0.8684210777282715,123,371,,,
0.8157894611358643,124,374,,,
0.8421052694320679,125,377,,,
0.8421052694320679,126,380,,,
0.8421052694320679,127,383,,,
0.8421052694320679,128,386,,,
0.8421052694320679,129,389,,,
0.7894737124443054,130,392,,,
0.8157894611358643,131,395,,,
0.8421052694320679,132,398,,,
,133,399,0.15275341272354126,0.90625,
0.8421052694320679,133,401,,,
0.8684210777282715,134,404,,,
0.8421052694320679,135,407,,,
0.8421052694320679,136,410,,,
0.7894737124443054,137,413,,,
0.8157894611358643,138,416,,,
0.8421052694320679,139,419,,,
0.8421052694320679,140,422,,,
0.8421052694320679,141,425,,,
0.8421052694320679,142,428,,,
0.8421052694320679,143,431,,,
0.8157894611358643,144,434,,,
0.8421052694320679,145,437,,,
0.8157894611358643,146,440,,,
0.7894737124443054,147,443,,,
0.8421052694320679,148,446,,,
,149,449,0.3368755578994751,0.8636363744735718,
0.8421052694320679,149,449,,,
0.7894737124443054,150,452,,,
0.8157894611358643,151,455,,,
0.8421052694320679,152,458,,,
0.8421052694320679,153,461,,,
0.8421052694320679,154,464,,,
0.8421052694320679,155,467,,,
0.7894737124443054,156,470,,,
